الجدول ١
Credit-Application-Result;Account-Balance;Duration-of-Credit-Month;Payment-Status-of-Previous-Credit;Purpose;Credit-Amount;Value-Savings-Stocks;Length-of-current-employment;Instalment-per-cent;Guarantors;Duration-in-Current-address;Most-valuable-available-asset;Age-years;Concurrent-Credits;Type-of-apartment;No-of-Credits-at-this-Bank;Occupation;No-of-dependents;Telephone;Foreign-Worker
Creditworthy;No Account;٦;Paid Up;Home Related;١٠٦٨;None;4-7 yrs;٤;None;;٣;٢٨;Other Banks/Depts;٢;1;١;٢;١;١
Creditworthy;No Account;٦;Paid Up;Home Related;١٢٠٣;< £100;4-7 yrs;٣;None;;٢;٤٣;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٦;No Problems (in this bank);Used car;١٢٢١;£100-£1000;< 1yr;١;None;;٢;٢٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;٦;Paid Up;New car;١٢٣٦;£100-£1000;< 1yr;٢;None;;٢;٥٠;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;Some Balance;٦;Paid Up;Home Related;١٣٣٨;£100-£1000;< 1yr;١;None;٤;١;٦٢;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٦;Paid Up;Home Related;١٣٤٦;< £100;4-7 yrs;٢;None;;٤;٤٢;Other Banks/Depts;٣;1;١;٢;٢;١
Creditworthy;No Account;٦;No Problems (in this bank);Home Related;١٣٦١;None;< 1yr;٢;None;٤;١;٤٠;Other Banks/Depts;٢;1;١;٢;١;٢
Creditworthy;No Account;٦;Paid Up;Used car;١٣٧٤;None;< 1yr;١;None;٢;١;٣٦;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;٦;Paid Up;Home Related;١٣٧٤;£100-£1000;< 1yr;٤;None;;٢;٧٥;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;٦;No Problems (in this bank);Home Related;١٤٤٩;< £100;4-7 yrs;١;None;;٣;٣١;Other Banks/Depts;٢;More than 1;١;٢;١;١
Creditworthy;Some Balance;٦;Paid Up;Home Related;١٥٣٨;None;< 1yr;١;None;;٤;٥٦;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٦;Paid Up;Used car;١٥٤٣;£100-£1000;< 1yr;٤;None;٢;١;٣٣;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٦;No Problems (in this bank);Home Related;١٨٩٨;£100-£1000;< 1yr;١;None;٢;١;٣٤;Other Banks/Depts;٢;More than 1;١;٢;١;١
Creditworthy;No Account;٦;Paid Up;Home Related;٢٠٦٣;None;< 1yr;٤;None;;٣;٣٠;Other Banks/Depts;١;1;١;١;٢;١
Creditworthy;Some Balance;٦;Paid Up;Home Related;٢١٠٨;None;1-4 yrs;٢;None;٢;١;٢٩;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;Some Balance;٦;Paid Up;Used car;٢١١٦;None;< 1yr;٢;None;٢;١;٤١;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٦;Paid Up;Used car;٢٩٧٨;£100-£1000;< 1yr;١;None;;٣;٣٢;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;٦;No Problems (in this bank);Home Related;٣٦٧٦;None;< 1yr;١;None;٣;١;٣٧;Other Banks/Depts;١;More than 1;١;٢;١;١
Non-Creditworthy;Some Balance;٦;Paid Up;Used car;٤٦١١;None;< 1yr;١;None;;٢;٣٢;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;٦;No Problems (in this bank);Home Related;٤٧١٦;£100-£1000;< 1yr;١;None;٣;١;٤٤;Other Banks/Depts;٢;More than 1;١;٢;١;١
Creditworthy;Some Balance;٦;No Problems (in this bank);Home Related;٦٧٦١;None;1-4 yrs;١;None;;٤;٤٥;Other Banks/Depts;٢;More than 1;١;٢;٢;١
Non-Creditworthy;No Account;٦;Paid Up;Home Related;١٤٥٥٥;£100-£1000;< 1yr;١;None;;٢;٢٣;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;No Account;٦;Paid Up;Home Related;١٤٨٩٦;None;4-7 yrs;١;None;;٤;٦٨;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٧;No Problems (in this bank);Home Related;٧٣٠;£100-£1000;4-7 yrs;٤;None;;٢;٤٦;Other Banks/Depts;١;More than 1;١;١;٢;١
Creditworthy;Some Balance;٧;No Problems (in this bank);Home Related;٨٤٦;£100-£1000;4-7 yrs;٣;None;;٤;٣٦;Other Banks/Depts;٣;1;١;١;١;١
Creditworthy;No Account;٧;Paid Up;Home Related;٢٥٧٦;None;< 1yr;٢;Yes;٢;١;٣٥;Other Banks/Depts;٢;1;١;١;١;٢
Creditworthy;No Account;٨;Paid Up;Home Related;٧٦٠;None;1-4 yrs;٤;Yes;٢;١;٤٤;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;٨;Paid Up;Home Related;٩٠٧;None;< 1yr;٣;None;٢;١;٢٦;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;٨;No Problems (in this bank);Home Related;١١٦٤;None;4-7 yrs;٣;None;;٤;٥١;Other Banks/Depts;٣;More than 1;١;٢;٢;١
Creditworthy;No Account;٨;Paid Up;Home Related;١٤١٤;None;< 1yr;٤;Yes;٢;١;٣٣;Other Banks/Depts;٢;1;١;١;١;٢
Creditworthy;No Account;٨;No Problems (in this bank);Home Related;٣٣٩٨;None;1-4 yrs;١;None;٤;١;٣٩;Other Banks/Depts;٢;More than 1;١;١;١;٢
Creditworthy;No Account;٩;Paid Up;Home Related;٢٧٦;None;< 1yr;٤;None;٤;١;٢٢;Other Banks/Depts;١;1;١;١;١;١
Non-Creditworthy;Some Balance;٩;Paid Up;Home Related;٧٤٥;None;< 1yr;٣;None;٢;١;٢٨;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٩;No Problems (in this bank);Home Related;٩٣٦;£100-£1000;4-7 yrs;٤;None;;٣;٥٢;Other Banks/Depts;٢;More than 1;١;١;٢;١
Non-Creditworthy;No Account;٩;Paid Up;Used car;٩٥٩;None;< 1yr;١;None;;٣;٢٩;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;٩;No Problems (in this bank);Home Related;١١٣٨;None;< 1yr;٤;None;٤;١;٢٥;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;٩;No Problems (in this bank);Home Related;١١٥٤;None;4-7 yrs;٢;None;٤;١;٣٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;٩;Paid Up;Other;١١٩٩;None;1-4 yrs;٤;None;٤;٢;;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;No Account;٩;Paid Up;Home Related;١١٩٩;None;1-4 yrs;٤;None;;٢;٦٧;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٩;No Problems (in this bank);Home Related;١٢٢٤;None;< 1yr;٣;None;١;١;٣٠;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;٩;No Problems (in this bank);Home Related;١٢٤٤;£100-£1000;4-7 yrs;٤;None;;٢;٤١;Other Banks/Depts;١;More than 1;١;١;١;١
Non-Creditworthy;Some Balance;٩;Some Problems;Home Related;١٣٣٧;None;< 1yr;٤;None;;٣;٣٤;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;No Account;٩;Paid Up;Home Related;١٣٦٤;None;1-4 yrs;٣;None;٤;١;٥٩;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٩;Paid Up;Used car;١٣٨٨;None;< 1yr;٤;None;٢;١;٢٦;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;No Account;٩;Paid Up;Home Related;١٣٩١;None;< 1yr;٢;None;١;١;٢٧;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;No Account;٩;Some Problems;Home Related;١٤٣٧;< £100;1-4 yrs;٢;None;;٤;٢٩;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٩;Paid Up;Home Related;١٤٤٩;None;1-4 yrs;٣;None;;٣;٢٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;٩;No Problems (in this bank);Home Related;١٥٠١;None;4-7 yrs;٢;None;;٣;٣٤;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;No Account;٩;Paid Up;Other;١٥٤٩;£100-£1000;< 1yr;٤;None;٢;١;;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;٩;Paid Up;Home Related;١٥٤٩;£100-£1000;< 1yr;٤;None;٢;١;٣٥;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;٩;Paid Up;Home Related;١٦٧٠;None;< 1yr;٤;None;;٣;٢٢;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;٩;No Problems (in this bank);Used car;١٩١٩;None;1-4 yrs;٤;None;;٣;٣٥;Other Banks/Depts;١;1;١;١;٢;١
Creditworthy;No Account;٩;Paid Up;Used car;٢٠٣٠;£100-£1000;1-4 yrs;٢;None;;٣;٢٤;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;٩;No Problems (in this bank);Home Related;٢١٣٤;None;< 1yr;٤;None;;٣;٤٨;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;٩;No Problems (in this bank);Used car;٢٤٠٦;None;< 1yr;٢;None;;٣;٣١;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;٩;Paid Up;Home Related;٢٦٩٧;None;< 1yr;١;None;٢;١;٣٢;Other Banks/Depts;٢;1;١;٢;١;١
Creditworthy;No Account;٩;Paid Up;Home Related;٣١٩٥;£100-£1000;< 1yr;١;None;٢;١;٣٣;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;٩;Some Problems;New car;٥١٢٩;None;4-7 yrs;٢;None;;٤;٧٤;Other Banks/Depts;٣;1;١;٢;٢;١
Creditworthy;Some Balance;١٠;Paid Up;Home Related;١٢٢٥;None;< 1yr;٢;None;;٣;٣٧;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;Some Balance;١٠;Paid Up;Home Related;١٢٤٠;< £100;4-7 yrs;١;None;;٤;٤٨;Other Banks/Depts;٣;1;١;٢;١;١
Creditworthy;Some Balance;١٠;Paid Up;Used car;١٢٧٥;None;< 1yr;٤;None;;٢;٢٣;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;Some Balance;١٠;Paid Up;Home Related;١٣٠٩;£100-£1000;< 1yr;٤;Yes;;٢;٢٧;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٠;Paid Up;Home Related;١٣٦٤;None;< 1yr;٢;None;;٣;٦٤;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;١٠;Paid Up;Home Related;١٥٤٦;None;< 1yr;٣;None;٢;١;٣١;Other Banks/Depts;٢;1;١;٢;١;٢
Creditworthy;No Account;١٠;No Problems (in this bank);Home Related;٢٢٤١;None;< 1yr;١;None;٣;١;٤٨;Other Banks/Depts;١;More than 1;١;٢;١;٢
Creditworthy;No Account;١٠;Paid Up;Home Related;٢٣١٥;None;4-7 yrs;٣;None;٤;١;٥٢;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٠;Paid Up;New car;٢٩٠١;£100-£1000;< 1yr;١;None;٤;١;٣١;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;Some Balance;١٠;Paid Up;Home Related;٣٩٤٩;None;< 1yr;١;Yes;;٢;٣٧;Other Banks/Depts;٢;1;١;٢;١;١
Creditworthy;No Account;١٠;Paid Up;Home Related;٧٣٠٨;None;< 1yr;٢;None;;٤;٧٠;Other Banks/Depts;٣;1;١;١;٢;١
Creditworthy;Some Balance;١١;No Problems (in this bank);Home Related;١١٥٤;< £100;< 1yr;٤;None;٤;١;٥٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;١١;No Problems (in this bank);Home Related;١٣٢٢;£100-£1000;< 1yr;٤;None;;٣;٤٠;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;١١;Paid Up;Used car;١٥٧٧;£100-£1000;< 1yr;٤;None;١;١;٢٠;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١١;Paid Up;Home Related;٢١٤٢;£100-£1000;4-7 yrs;١;None;٢;١;٢٨;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;١١;No Problems (in this bank);Home Related;٣٩٣٩;None;< 1yr;١;None;٢;١;٤٠;Other Banks/Depts;٢;More than 1;١;٢;١;١
Creditworthy;No Account;١٢;Some Problems;Home Related;٣٣٩;None;4-7 yrs;٤;None;;٣;٤٥;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;١٢;No Problems (in this bank);Home Related;٣٨٥;None;1-4 yrs;٤;None;٣;١;٥٨;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;No Account;١٢;No Problems (in this bank);Home Related;٥٨٥;None;< 1yr;٤;Yes;٤;١;٢٠;Other Banks/Depts;١;More than 1;١;١;١;١
Creditworthy;No Account;١٢;Paid Up;Home Related;٦٢٥;None;< 1yr;٤;Yes;١;١;٢٦;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;١٢;Paid Up;Home Related;٦٣٩;None;< 1yr;٤;None;;٣;٣٠;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;١٢;Paid Up;Used car;٦٥٢;None;4-7 yrs;٤;None;;٢;٢٤;Other Banks/Depts;١;1;١;١;١;١
Non-Creditworthy;No Account;١٢;Paid Up;Home Related;٦٧٤;< £100;1-4 yrs;٤;None;;٢;٢٠;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);Home Related;٦٨٢;< £100;1-4 yrs;٤;None;;٣;٥١;Other Banks/Depts;٢;More than 1;١;١;٢;١
Non-Creditworthy;No Account;١٢;Some Problems;Home Related;٦٩٧;None;< 1yr;٤;None;;٣;٤٦;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);Home Related;٧٠١;None;< 1yr;٤;None;;٣;٣٢;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;١٢;Paid Up;Home Related;٧٠١;None;< 1yr;٤;None;٢;١;٤٠;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;١٢;Paid Up;Used car;٧٠٨;None;< 1yr;٢;Yes;;٢;٣٨;Other Banks/Depts;٢;1;١;٢;١;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);Home Related;٧١٧;None;4-7 yrs;٤;None;٤;١;٥٢;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;Some Balance;١٢;Paid Up;Home Related;٧١٩;None;4-7 yrs;٤;None;;٣;٤١;Other Banks/Depts;٢;1;١;٢;١;١
Creditworthy;No Account;١٢;Paid Up;Home Related;٧٥٤;£100-£1000;4-7 yrs;٤;None;;٢;٣٨;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;No Account;١٢;Paid Up;Home Related;٧٥٩;None;1-4 yrs;٤;None;٢;١;٢٦;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٢;Paid Up;Used car;٧٦٣;None;< 1yr;٤;None;١;١;٢٦;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;No Account;١٢;Paid Up;Home Related;٧٦٦;£100-£1000;< 1yr;٤;None;٣;١;٦٦;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;Some Balance;١٢;No Problems (in this bank);Other;٧٩٧;£100-£1000;4-7 yrs;٤;None;٣;٢;٣٣;Other Banks/Depts;٢;1;١;٢;١;١
Non-Creditworthy;Some Balance;١٢;No Problems (in this bank);Home Related;٧٩٧;£100-£1000;4-7 yrs;٤;None;;٢;٣٣;Other Banks/Depts;٢;1;١;٢;١;١
Creditworthy;No Account;١٢;Paid Up;Home Related;٨٤١;< £100;1-4 yrs;٢;None;٤;١;٢٣;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;Some Balance;١٢;Paid Up;Home Related;٨٨٦;£100-£1000;< 1yr;٤;None;;٣;٢١;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;١٢;Paid Up;Home Related;٨٨٨;None;4-7 yrs;٤;None;;٣;٤١;Other Banks/Depts;٢;1;١;٢;١;١
Non-Creditworthy;No Account;١٢;Paid Up;Home Related;٩٠٠;£100-£1000;< 1yr;٤;None;;٣;٢٣;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;١٢;Paid Up;Home Related;٩٠٢;None;1-4 yrs;٤;None;;٢;٢١;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);Home Related;٩٢٦;None;< 1yr;١;None;;٢;٣٨;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);Other;٩٣٠;£100-£1000;4-7 yrs;٤;None;٤;١;;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);Home Related;٩٣٠;£100-£1000;4-7 yrs;٤;None;٤;١;٦٥;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;١٢;No Problems (in this bank);Home Related;٩٥٨;None;1-4 yrs;٢;None;٣;١;٤٧;Other Banks/Depts;٢;More than 1;١;٢;١;١
Creditworthy;No Account;١٢;Paid Up;Used car;٩٨٣;£100-£1000;< 1yr;١;None;٤;١;١٩;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);Home Related;٩٩٦;£100-£1000;1-4 yrs;٤;None;٤;١;٢٣;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;١٢;Paid Up;Home Related;١٠٣٧;< £100;1-4 yrs;٣;None;٤;١;٣٩;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;١٢;Paid Up;Home Related;١١٠٣;None;1-4 yrs;٤;Yes;٣;١;٢٩;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;١٢;Paid Up;Home Related;١١٠٧;None;< 1yr;٢;None;٢;١;٢٠;Other Banks/Depts;١;1;١;٢;٢;١
Non-Creditworthy;No Account;١٢;Some Problems;Home Related;١١٠٨;None;1-4 yrs;٤;None;٣;١;٢٨;Other Banks/Depts;٢;More than 1;١;١;١;١
Non-Creditworthy;Some Balance;١٢;Paid Up;Used car;١١٢٣;£100-£1000;< 1yr;٤;None;;٣;٢٩;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;No Account;١٢;Paid Up;Home Related;١١٥٨;£100-£1000;< 1yr;٣;None;;٣;٢٦;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);Home Related;١١٨٥;None;< 1yr;٣;None;٢;١;٢٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Creditworthy;No Account;١٢;Paid Up;Home Related;١٢٠٠;£100-£1000;< 1yr;٤;None;;٢;٢٣;Other Banks/Depts;١;1;١;١;٢;١
Non-Creditworthy;No Account;١٢;Paid Up;Home Related;١٢٢٣;None;4-7 yrs;١;None;١;١;٤٦;Other Banks/Depts;١;More than 1;١;١;١;١
Non-Creditworthy;No Account;١٢;Paid Up;Home Related;١٢٢٨;None;< 1yr;٤;None;٢;١;٢٤;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);Home Related;١٢٤٠;£100-£1000;4-7 yrs;٤;None;٢;١;٣٨;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);Used car;١٢٥٨;None;< 1yr;٢;None;;٢;٢٢;Other Banks/Depts;١;More than 1;١;١;١;١
Creditworthy;Some Balance;١٢;Paid Up;Home Related;١٢٦٢;None;< 1yr;٣;None;;٣;٢٥;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;١٢;Paid Up;Home Related;١٢٧٤;None;< 1yr;٣;None;١;١;٣٧;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;١٢;Paid Up;Used car;١٢٨٩;None;< 1yr;٤;Yes;;٢;٢١;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;١٢;Paid Up;Home Related;١٣١٨;£100-£1000;4-7 yrs;٤;None;٤;١;٥٤;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;١٢;Paid Up;Home Related;١٣٣٠;None;< 1yr;٤;None;١;١;٢٦;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;No Account;١٢;Paid Up;Home Related;١٣٣١;None;< 1yr;٢;None;;٣;٢٢;Other Banks/Depts;٢;1;١;١;١;١
Non-Creditworthy;Some Balance;١٢;Paid Up;Home Related;١٣٨٦;£100-£1000;< 1yr;٢;None;;٢;٢٦;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);Other;١٤٠٢;£100-£1000;1-4 yrs;٣;None;٤;٣;;Other Banks/Depts;١;1;١;١;٢;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);Used car;١٤٠٢;£100-£1000;1-4 yrs;٣;None;;٣;٣٧;Other Banks/Depts;١;1;١;١;٢;١
Creditworthy;No Account;١٢;No Problems (in this bank);New car;١٤٠٩;None;4-7 yrs;٤;None;٣;١;٥٤;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;١٢;No Problems (in this bank);Home Related;١٤٢٤;None;1-4 yrs;٤;None;;٢;٢٦;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٢;Paid Up;Used car;١٤٢٤;£100-£1000;4-7 yrs;٣;None;٤;١;٥٥;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;١٢;Paid Up;Used car;١٤٧٤;None;< 1yr;٤;None;;٢;٣٣;Other Banks/Depts;٢;1;١;١;٢;١
Non-Creditworthy;No Account;١٢;Paid Up;Home Related;١٤٨٤;£100-£1000;< 1yr;٢;None;١;١;٢٥;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;Some Balance;١٢;Paid Up;Home Related;١٤٩٣;None;< 1yr;٤;None;;٣;٣٤;Other Banks/Depts;٢;1;١;٢;١;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);New car;١٥٠٣;None;< 1yr;٤;None;٤;١;٤١;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;No Account;١٢;No Problems (in this bank);New car;١٥٢٦;None;4-7 yrs;٤;None;;٤;٦٦;Other Banks/Depts;٣;More than 1;١;١;١;١
Non-Creditworthy;Some Balance;١٢;No Problems (in this bank);Home Related;١٥٥٥;£100-£1000;4-7 yrs;٤;None;;٤;٥٥;Other Banks/Depts;٣;More than 1;١;٢;١;١
Creditworthy;No Account;١٢;Paid Up;Used car;١٦٢٠;None;< 1yr;٢;Yes;;٢;٣٠;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٢;Paid Up;Other;١٧٣٦;None;1-4 yrs;٣;None;٤;١;;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;Some Balance;١٢;Paid Up;Used car;١٧٣٦;None;1-4 yrs;٣;None;٤;١;٣١;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;١٢;Paid Up;Used car;١٨٥٨;None;< 1yr;٤;None;;٣;٢٢;Other Banks/Depts;١;1;١;١;١;١
Creditworthy;No Account;١٢;No Problems (in this bank);New car;١٨٦٠;None;< 1yr;٤;None;;٣;٣٤;Other Banks/Depts;٢;More than 1;١;١;٢;١
Creditworthy;Some Balance;١٢;Paid Up;Home Related;١٨٨٤;None;4-7 yrs;٤;None;;٣;٣٩;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;١٢;Paid Up;Home Related;١٨٩٣;None;< 1yr;٤;Yes;;٢;٢٩;Other Banks/Depts;٢;1;١;١;٢;١
Creditworthy;No Account;١٢;No Problems (in this bank);Home Related;١٩٩٥;< £100;< 1yr;٤;None;;٣;٢٧;Other Banks/Depts;٢;1;١;١;١;١
Creditworthy;No Account;١٢;Paid Up;Home Related;٢٠٠٢;None;1-4 yrs;٣;None;;٢;٣٠;Other Banks/Depts;١;1;١;٢;٢;١
Creditworthy;Some Balance;١٢;No Problems (in this bank);Home Related;٢٠١٢;£100-£1000;1-4 yrs;٤;None;;٣;٦١;Other Banks/Depts;٢;1;١;١;١;١
