الجدول ١
Account-Balance;Duration-of-Credit-Month;Payment-Status-of-Previous-Credit;Purpose;Credit-Amount;Value-Savings-Stocks;Length-of-current-employment;Instalment-per-cent;Guarantors;Duration-in-Current-address;Most-valuable-available-asset;Age-years;Concurrent-Credits;Type-of-apartment;No-of-Credits-at-this-Bank;Occupation;No-of-dependents;Telephone;Foreign-Worker
Some Balance;١٢;No Problems (in this bank);Home Related;١٦٥٥;None;4-7 yrs;٢;None;٤;١;٦٣;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;١٥;Paid Up;Home Related;١٠٥٣;None;< 1yr;٤;None;٢;١;٢٧;Other Banks/Depts;٢;1;١;١;١;٢
Some Balance;١٢;No Problems (in this bank);Home Related;١١٦٣;£100-£1000;< 1yr;٤;None;٤;١;٤٤;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٣٦;No Problems (in this bank);Home Related;١٠٨٧٥;None;4-7 yrs;٢;None;٢;٣;٤٥;Other Banks/Depts;٢;More than 1;١;٢;٢;١
No Account;١٢;No Problems (in this bank);Home Related;١٣٤٤;None;< 1yr;٤;None;٢;١;٤٣;Other Banks/Depts;٢;More than 1;١;٢;١;١
Some Balance;٦;No Problems (in this bank);Home Related;١٢٣٧;< £100;< 1yr;١;None;١;٢;٢٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;١٢;Paid Up;Home Related;٣٠٧٧;None;< 1yr;٢;None;٤;٣;٥٢;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٢٤;Paid Up;Home Related;٢٢٨٤;None;1-4 yrs;٤;None;٢;٣;٢٨;Other Banks/Depts;٢;1;١;١;٢;١
No Account;١٢;Paid Up;Home Related;١٥٦٧;None;< 1yr;١;None;١;٣;٢٢;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٢٤;No Problems (in this bank);Home Related;٢٠٣٢;None;4-7 yrs;٤;None;٤;٤;٦٠;Other Banks/Depts;٣;More than 1;١;١;٢;١
No Account;٢١;No Problems (in this bank);Home Related;١٦٠٢;None;4-7 yrs;٤;None;٣;٣;٣٠;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;١٥;Paid Up;Home Related;١٩٧٩;£100-£1000;4-7 yrs;٤;None;٢;٣;٣٥;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٣٦;No Problems (in this bank);Home Related;٣٣٤٢;£100-£1000;4-7 yrs;٤;None;٢;٣;٥١;Other Banks/Depts;٢;1;١;١;٢;١
No Account;١٨;Paid Up;Home Related;٥٨٦٦;< £100;< 1yr;٢;None;٢;٣;٣٠;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;١٥;No Problems (in this bank);New car;٢٣٦٠;£100-£1000;< 1yr;٢;None;٢;٣;٣٦;Other Banks/Depts;٢;1;١;١;٢;١
No Account;١٢;Paid Up;Home Related;٣٦٥١;£100-£1000;< 1yr;١;None;٣;٢;٣١;Other Banks/Depts;٢;1;١;٢;١;١
No Account;١٨;No Problems (in this bank);Used car;٦٣٦١;None;4-7 yrs;٢;None;١;٤;٤١;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٢٧;No Problems (in this bank);Used car;٤٥٢٦;£100-£1000;< 1yr;٤;None;٢;١;٣٢;Other Banks/Depts;٢;More than 1;١;٢;٢;١
No Account;٩;Paid Up;Used car;٢١٣٦;None;< 1yr;٣;None;٢;١;٢٥;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٢٤;No Problems (in this bank);Used car;٣٧٧٧;£100-£1000;< 1yr;٤;None;٤;١;٤٠;Other Banks/Depts;٢;1;١;١;٢;١
No Account;١٥;Paid Up;Home Related;٨٠٦;None;< 1yr;٤;None;٤;٢;٢٢;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٤;No Problems (in this bank);Home Related;٤٧١٢;£100-£1000;< 1yr;٤;None;٢;٢;٣٤;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;١٢;No Problems (in this bank);Home Related;١٤١٢;None;< 1yr;٤;Yes;٢;١;٢٩;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;٢٤;Paid Up;Home Related;١٥٣٣;None;< 1yr;٤;None;٣;٣;٣٨;Other Banks/Depts;٢;1;١;١;٢;١
No Account;١٥;Paid Up;Home Related;٣٩٥٩;None;< 1yr;٣;None;٢;٢;٢٩;Other Banks/Depts;٢;1;١;١;٢;١
No Account;٦;Paid Up;Used car;٤٢٨;None;4-7 yrs;٢;None;١;٢;٤٩;Other Banks/Depts;٢;1;١;١;٢;١
No Account;١٢;No Problems (in this bank);Home Related;٢٣٦٦;£100-£1000;1-4 yrs;٣;None;٣;٣;٣٦;Other Banks/Depts;٢;1;١;١;٢;١
No Account;١٨;Paid Up;Home Related;٦٢٦٠;None;1-4 yrs;٣;None;٣;١;٢٨;Other Banks/Depts;١;1;١;١;١;١
Some Balance;٢٤;Paid Up;New car;٢٦٠٣;£100-£1000;< 1yr;٢;None;٤;٣;٢٨;Other Banks/Depts;١;1;١;١;٢;١
Some Balance;٢٤;Paid Up;Used car;٣٠٦٢;£100-£1000;4-7 yrs;٤;None;٣;٤;٣٢;Other Banks/Depts;١;1;١;١;٢;١
No Account;٣٦;Paid Up;Home Related;٤٧٩٥;None;< 1yr;٤;None;١;٤;٣٠;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٣٦;No Problems (in this bank);New car;٥٨٤٢;None;4-7 yrs;٢;None;٢;٢;٣٥;Other Banks/Depts;٢;More than 1;١;٢;٢;١
Some Balance;١٥;Paid Up;Home Related;١٢١٣;£100-£1000;4-7 yrs;٤;None;٣;٢;٤٧;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;١٥;Paid Up;Home Related;٨٧٤;£100-£1000;< 1yr;٤;None;١;١;٢٤;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٨;Paid Up;Home Related;١٨٢٠;None;< 1yr;٢;None;٢;٢;٣٠;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٢٤;No Problems (in this bank);Home Related;٣١٤٨;£100-£1000;< 1yr;٣;None;٢;٣;٣١;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;٣٦;Paid Up;Home Related;٣٨٣٥;£100-£1000;4-7 yrs;٢;None;٤;١;٤٥;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٩;Paid Up;Home Related;٣٨٣٢;£100-£1000;4-7 yrs;١;None;٤;١;٦٤;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٤;Paid Up;Home Related;٥٠٨٤;£100-£1000;4-7 yrs;٢;None;٤;٣;٤٢;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٢١;Paid Up;New car;٢٤٧٦;£100-£1000;4-7 yrs;٤;None;٤;١;٤٦;Other Banks/Depts;٢;1;١;١;٢;١
No Account;٢٤;Paid Up;New car;٢٩٦٤;£100-£1000;4-7 yrs;٤;None;٤;٤;٤٩;Other Banks/Depts;٣;1;١;٢;٢;١
No Account;١٢;Paid Up;Used car;١٢٦٢;£100-£1000;4-7 yrs;٢;None;٤;٢;٤٩;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;١٢;Paid Up;Home Related;١٥٤٢;None;1-4 yrs;٢;None;٤;٣;٣٦;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;١٢;Some Problems;Home Related;٤٠٩;£100-£1000;< 1yr;٣;None;٣;١;٤٢;Other Banks/Depts;١;More than 1;١;١;١;١
No Account;٢٤;Paid Up;Home Related;٣٥١٢;< £100;1-4 yrs;٢;None;٣;٣;٣٨;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;١٢;Paid Up;Home Related;١٤٩٨;None;< 1yr;٤;None;١;٣;٢٣;Other Banks/Depts;٢;1;١;١;١;١
No Account;٤٨;Some Problems;Home Related;٦٤١٦;None;4-7 yrs;٤;None;٣;٤;٥٩;Other Banks/Depts;١;1;١;١;١;١
No Account;١٢;No Problems (in this bank);Used car;٣٦١٧;None;4-7 yrs;١;None;٤;٣;٢٨;Other Banks/Depts;١;More than 1;١;١;٢;١
Some Balance;١٢;No Problems (in this bank);Home Related;١٢٩١;None;< 1yr;٤;None;٢;٢;٣٥;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;٢٤;Paid Up;Used car;٣٩٧٢;None;1-4 yrs;٢;None;٤;٢;٢٥;Other Banks/Depts;١;1;١;١;٢;١
Some Balance;١٥;Paid Up;Home Related;٣٩٢;None;< 1yr;٤;None;٤;٢;٢٣;Other Banks/Depts;١;1;١;١;٢;١
Some Balance;٣٠;No Problems (in this bank);Home Related;٥٧٧١;None;1-4 yrs;٤;None;٢;٣;٢٥;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;٦;No Problems (in this bank);Home Related;١٣٨٢;None;< 1yr;١;None;١;٣;٢٨;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;١٢;Paid Up;Home Related;١٢٩٧;None;< 1yr;٣;None;٤;١;٢٣;Other Banks/Depts;١;1;١;١;١;١
Some Balance;١٢;Paid Up;Home Related;١٩٦٣;None;1-4 yrs;٤;None;٢;٣;٣١;Other Banks/Depts;١;More than 1;١;٢;٢;١
No Account;١٢;No Problems (in this bank);New car;١٨٠٤;< £100;< 1yr;٣;None;٤;٢;٤٤;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٨;Paid Up;Home Related;١٩٥٠;None;1-4 yrs;٤;None;١;٣;٣٤;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;٤٨;No Problems (in this bank);Home Related;١٢٧٤٩;£100-£1000;1-4 yrs;٤;None;١;٣;٣٧;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٩;Paid Up;Home Related;١٢٣٦;None;< 1yr;١;None;٤;١;٢٣;Other Banks/Depts;١;1;١;١;٢;١
No Account;٣٠;Some Problems;Home Related;٨٠٧٢;£100-£1000;< 1yr;٢;None;٣;٣;٢٥;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;٣٠;No Problems (in this bank);Home Related;٢٨٣١;None;< 1yr;٤;None;٢;٣;٣٣;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٣٦;Paid Up;Home Related;٥٧٤٢;< £100;1-4 yrs;٢;None;٢;٣;٣١;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;١٢;Paid Up;Home Related;٢٣٩٠;£100-£1000;4-7 yrs;٤;None;٣;٣;٥٠;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٢١;Paid Up;Home Related;٢٩٢٣;< £100;< 1yr;١;None;١;٣;٢٨;Other Banks/Depts;٢;1;١;١;٢;١
No Account;٤٨;Paid Up;Home Related;٨٤٨٧;£100-£1000;1-4 yrs;١;None;٢;٣;٢٤;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٢٤;Paid Up;Home Related;٢٢٥٥;£100-£1000;< 1yr;٤;None;١;٢;٥٤;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٨;No Problems (in this bank);Used car;١٨١٧;None;< 1yr;٤;None;٢;٤;٢٨;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;١٨;Some Problems;Home Related;١٤٤٥;£100-£1000;1-4 yrs;٤;None;٤;٣;٤٩;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٤;Paid Up;Used car;٧٧٢١;£100-£1000;< 1yr;١;None;٢;٢;٣٠;Other Banks/Depts;٢;1;١;١;٢;٢
No Account;٢١;Paid Up;Home Related;٣٧٦٣;£100-£1000;1-4 yrs;٢;Yes;٢;١;٢٤;Other Banks/Depts;٢;1;١;١;١;٢
No Account;١٥;Paid Up;Home Related;١٤٤٤;£100-£1000;< 1yr;٤;None;١;٢;٢٣;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٩;Paid Up;Home Related;٢٧٥٣;< £100;4-7 yrs;٣;Yes;٤;٣;٣٥;Other Banks/Depts;٢;1;١;١;٢;١
No Account;٢٤;Some Problems;Used car;٢٤٨٣;£100-£1000;< 1yr;٤;None;٤;١;٢٢;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;٦;No Problems (in this bank);Home Related;١٢٩٩;None;< 1yr;١;None;١;١;٧٤;Other Banks/Depts;٢;More than 1;١;٢;١;٢
Some Balance;١٠;Paid Up;Home Related;١٢٨٧;£100-£1000;4-7 yrs;٤;Yes;٢;٢;٤٥;Other Banks/Depts;٢;1;١;١;١;٢
No Account;١٨;Some Problems;Home Related;١٩٤٠;None;< 1yr;٣;Yes;٤;٤;٣٦;Other Banks/Depts;٣;1;١;١;٢;١
Some Balance;٢٤;No Problems (in this bank);New car;٤٦٧٩;None;1-4 yrs;٣;None;٣;٣;٣٥;Other Banks/Depts;٢;More than 1;١;١;٢;١
No Account;١٨;Paid Up;Used car;٢٦٥٩;£100-£1000;< 1yr;٤;None;٢;٣;٢٨;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٤;No Problems (in this bank);Home Related;٨٠٢;None;< 1yr;٤;None;٢;٣;٢٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;٢١;Paid Up;Home Related;١٥٧٢;£100-£1000;4-7 yrs;٤;None;٤;١;٣٦;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٦;Some Problems;Home Related;٤٢٦;None;4-7 yrs;٤;None;٤;٣;٣٩;Other Banks/Depts;٢;1;١;١;١;١
No Account;٣٠;Paid Up;New car;٣٨٥٧;None;< 1yr;٤;None;٤;٢;٤٠;Other Banks/Depts;٢;1;١;١;٢;١
No Account;١٢;Paid Up;Home Related;٦٨٥;None;1-4 yrs;٢;None;٣;٣;٢٥;Other Banks/Depts;٢;1;١;١;١;١
No Account;٢٤;Paid Up;Home Related;١٦٠٣;None;4-7 yrs;٤;None;٤;٣;٥٥;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٤;Paid Up;Used car;٦٠١;None;< 1yr;١;None;٣;١;٢٣;Other Banks/Depts;١;1;١;٢;١;١
Some Balance;١٥;No Problems (in this bank);Home Related;١٣١٦;£100-£1000;< 1yr;٢;None;٢;٢;٤٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;٦٠;Paid Up;Home Related;١٠٣٦٦;None;4-7 yrs;٢;None;٤;٢;٤٢;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;١٨;Paid Up;Home Related;١٥٦٨;< £100;< 1yr;٣;None;٤;٢;٢٤;Other Banks/Depts;١;1;١;١;١;١
Some Balance;١٨;No Problems (in this bank);Home Related;٦٢٩;£100-£1000;4-7 yrs;٤;None;٣;٢;٣٢;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;٦;Some Problems;Home Related;١٧٥٠;£100-£1000;4-7 yrs;٢;None;٤;٢;٤٥;Other Banks/Depts;٢;1;١;٢;١;١
Some Balance;٢٤;Paid Up;New car;٣٤٨٨;< £100;1-4 yrs;٣;None;٤;٣;٢٣;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٥;Paid Up;Home Related;٢٦٣١;< £100;< 1yr;٣;None;٢;١;٢٥;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٢١;Paid Up;New car;٥٢٤٨;£100-£1000;< 1yr;١;None;٣;٣;٢٦;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٨;No Problems (in this bank);Home Related;٦٢٠٤;None;< 1yr;٢;None;٤;١;٤٤;Other Banks/Depts;٢;1;١;٢;٢;١
Some Balance;١٢;Paid Up;Home Related;٨٠٤;None;4-7 yrs;٤;None;٤;٣;٣٨;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٥;No Problems (in this bank);Used car;٣٦٤٣;None;4-7 yrs;١;None;٤;٢;٢٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;١٠;No Problems (in this bank);Used car;٢١٤٦;None;< 1yr;١;None;٣;١;٢٣;Other Banks/Depts;١;More than 1;١;١;١;١
Some Balance;٥;Paid Up;Home Related;٣٤٤٨;None;1-4 yrs;١;None;٤;١;٧٤;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٥;Paid Up;Used car;٢٧٠٨;None;< 1yr;٢;None;٣;٢;٢٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;٢٢;Paid Up;Home Related;٢٦٧٥;£100-£1000;4-7 yrs;٣;None;٤;٣;٤٠;Other Banks/Depts;٢;1;١;١;١;١
No Account;٩;Paid Up;Home Related;٢١١٨;None;< 1yr;٢;None;٢;١;٣٧;Other Banks/Depts;٢;1;١;٢;١;١
Some Balance;١٥;Some Problems;Home Related;١٥٦٩;< £100;4-7 yrs;٤;None;٤;٣;٣٤;Other Banks/Depts;٢;1;١;٢;١;١
Some Balance;٣٦;No Problems (in this bank);Used car;٧٦٧٨;£100-£1000;1-4 yrs;٢;None;٤;٣;٤٠;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;١٢;Some Problems;Home Related;٣٤٤٧;£100-£1000;< 1yr;٤;None;٣;١;٣٥;Other Banks/Depts;٢;1;١;٢;١;١
Some Balance;١٥;Paid Up;Home Related;٣٥٦٨;None;4-7 yrs;٤;None;٢;٣;٥٤;Other Banks/Depts;١;1;١;١;٢;١
No Account;٢١;No Problems (in this bank);Home Related;٣٦٥٢;None;1-4 yrs;٢;None;٣;٢;٢٧;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٢٤;Paid Up;Home Related;٣٦٦٠;None;< 1yr;٢;None;٤;٣;٢٨;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٩;Paid Up;Home Related;١١٢٦;< £100;4-7 yrs;٢;None;٤;١;٤٩;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٦;No Problems (in this bank);Home Related;٦٨٣;None;< 1yr;٢;None;١;٢;٢٩;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٢;Paid Up;Used car;٢٢٥١;None;< 1yr;١;None;٢;٣;٤٦;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;١٢;Paid Up;New car;٤٦٧٥;£100-£1000;< 1yr;١;None;٤;٣;٢٠;Other Banks/Depts;١;1;١;١;١;١
No Account;٢١;No Problems (in this bank);Home Related;٢٣٥٣;None;< 1yr;١;None;٤;٢;٤٧;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;٦;Paid Up;Home Related;٦٧٢;None;< 1yr;١;None;٤;١;٥٤;Other Banks/Depts;٢;1;١;١;٢;١
No Account;٦;No Problems (in this bank);Home Related;٣٣٨;£100-£1000;4-7 yrs;٤;None;٤;٣;٥٢;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;٩;Paid Up;Home Related;٢٥٠٧;£100-£1000;4-7 yrs;٢;None;٤;٤;٥١;Other Banks/Depts;٣;1;١;١;١;١
Some Balance;١٥;No Problems (in this bank);Home Related;١٤٧٨;None;< 1yr;٤;None;٣;١;٣٣;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;١٢;No Problems (in this bank);Home Related;٣٥٦٥;£100-£1000;< 1yr;٢;None;١;٢;٣٧;Other Banks/Depts;٢;More than 1;١;٢;١;١
Some Balance;٩;Paid Up;Used car;٢٣٠١;< £100;< 1yr;٢;None;٤;٢;٢٢;Other Banks/Depts;١;1;١;١;١;١
Some Balance;٦;No Problems (in this bank);Home Related;١٧٤٣;< £100;< 1yr;١;None;٢;١;٣٤;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;١٨;No Problems (in this bank);Home Related;٢٣٢٠;None;< 1yr;٢;None;٣;١;٣٤;Other Banks/Depts;٢;More than 1;١;١;١;١
Some Balance;٢٤;Paid Up;Home Related;٥١٥٢;None;1-4 yrs;٤;None;٢;٣;٢٥;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٩;No Problems (in this bank);Home Related;٣٠٧٤;£100-£1000;< 1yr;١;None;٢;١;٣٣;Other Banks/Depts;٢;More than 1;١;٢;١;١
Some Balance;٦;Some Problems;Home Related;٧٨٣;£100-£1000;< 1yr;١;Yes;٢;١;٢٦;Other Banks/Depts;٢;1;١;٢;١;١
No Account;٢١;Paid Up;Home Related;٢٦٠٦;None;< 1yr;٤;None;٤;٢;٢٨;Other Banks/Depts;١;1;١;١;٢;١
Some Balance;٥٤;Some Problems;New car;٩٤٣٦;£100-£1000;< 1yr;٢;None;٢;٢;٣٩;Other Banks/Depts;٢;1;١;٢;١;١
Some Balance;٦;No Problems (in this bank);Home Related;٢٥٠;£100-£1000;< 1yr;٢;None;٢;١;٤١;Other Banks/Depts;٢;More than 1;١;١;١;١
No Account;٦;Paid Up;Home Related;٦٦٢;None;< 1yr;٣;None;٤;١;٤١;Other Banks/Depts;٢;1;١;٢;٢;١
Some Balance;٢٤;Some Problems;Home Related;١٥٥٩;None;1-4 yrs;٤;None;٤;٣;٤٠;Other Banks/Depts;٢;1;١;١;٢;١
Some Balance;١٢;Paid Up;Home Related;٣٠١٦;None;< 1yr;٣;None;١;٣;٢٤;Other Banks/Depts;٢;1;١;١;١;١
Some Balance;٦;Some Problems;Home Related;١٢٠٤;< £100;< 1yr;٤;None;١;٤;٣٥;Other Banks/Depts;١;1;١;١;١;٢
Some Balance;١٠;Paid Up;Home Related;١٥٩٧;£100-£1000;< 1yr;٣;None;٢;٤;٤٠;Other Banks/Depts;١;1;١;٢;١;٢
Some Balance;١٢;Paid Up;Home Related;٢٠٧٣;< £100;< 1yr;٤;Yes;٢;١;٢٨;Other Banks/Depts;٢;1;١;١;١;١
No Account;١٠;No Problems (in this bank);Used car;٢١٣٢;£100-£1000;< 1yr;٢;Yes;٣;١;٢٧;Other Banks/Depts;١;More than 1;١;١;١;٢
Some Balance;١٠;Paid Up;Home Related;١٤١٨;< £100;< 1yr;٣;None;٢;١;٣٥;Other Banks/Depts;١;1;١;١;١;٢
Some Balance;٦;No Problems (in this bank);Home Related;١٣٤٣;None;4-7 yrs;١;None;٤;١;٤٦;Other Banks/Depts;٢;More than 1;١;٢;١;٢
Some Balance;١٨;Paid Up;Home Related;٢٦٦٢;£100-£1000;1-4 yrs;٤;None;٣;٢;٣٢;Other Banks/Depts;٢;1;١;١;١;٢
Some Balance;١٨;No Problems (in this bank);Home Related;٦٠٧٠;None;4-7 yrs;٣;None;٤;٣;٣٣;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;٦;No Problems (in this bank);Home Related;١٥٥٤;None;1-4 yrs;١;None;٢;٣;٢٤;Other Banks/Depts;١;More than 1;١;١;٢;١
No Account;٩;No Problems (in this bank);Home Related;١٢٨٨;< £100;4-7 yrs;٣;Yes;٤;١;٤٨;Other Banks/Depts;٢;More than 1;١;٢;١;٢
No Account;١٠;No Problems (in this bank);Home Related;١٠٣٨;None;1-4 yrs;٤;Yes;٣;٢;٤٩;Other Banks/Depts;٢;More than 1;١;١;٢;١
Some Balance;١٠;Paid Up;New car;٢٨٤٨;< £100;< 1yr;١;Yes;٢;١;٣٢;Other Banks/Depts;٢;1;١;٢;١;١
Some Balance;١٢;Paid Up;New car;١٤١٣;£100-£1000;1-4 yrs;٣;None;٢;٢;٥٥;Other Banks/Depts;٢;1;١;١;١;٢
Some Balance;١٨;No Problems (in this bank);New car;٣٢٢٩;£100-£1000;< 1yr;٢;None;٤;٤;٣٨;Other Banks/Depts;٢;1;١;١;٢;١
